track_name,guid,id,genre
Too Much Information,f7e7a01b-0661-454b-81b0-daa747adf6c7,7360974,Afro House
Deep Musique,12722a88-4b30-4f88-8ded-815265f2b051,9125004,Afro House
Canoa,75ceb7f7-b249-4690-a2b6-be78980f1f2f,1278170,Afro House
Sun My Sweet Sun,cfdf409f-87bf-4578-b08d-555edf00bdf7,9526878,Afro House
Shakti Pan feat. Sven,f9fd8216-ac2e-4b73-b4b7-2da25f74c677,8712463,Afro House
The Idea,b57be076-458d-44d7-a695-9517edfc1aa3,7799309,Afro House
Bimma,1c6cb3d0-583d-4f96-a059-3032ef1bfd91,9291052,Afro House
Khaya,86e49276-2eee-416e-8bef-1103398b0c13,9569091,Afro House
Cape Coast,f372dc73-6f5a-4634-a8b1-92594817199a,8251639,Afro House
Avalon,7f3b51f7-1b00-463e-b462-d0ba7f7028fd,9405422,Afro House
From Jamaica to Brasil,50edd8d3-2b86-4fc4-aafd-c03a1784ab0a,10095781,Afro House
Muyè,2f1e6319-f4da-4592-97d8-33ed47831728,9993600,Afro House
Ngeke,268738c9-11bb-4495-89d7-2820e76ea168,10375955,Afro House
Senhor Doutor,036d52ed-4605-4462-8c79-8b8df833e62d,9151159,Afro House
Y.O.U.D.,070b2aa5-1cd0-4a02-92d4-081d1cd07b81,5834402,Afro House
Jeopardized,675f4ec0-fdea-45ce-b957-2445f4064e92,10237683,Afro House
Marimbo,bf9513dc-0c7c-44bd-b63f-ce70aee52ff3,10253039,Afro House
Toukan,dccdf61f-1c99-471d-bb24-6a163b49730c,9485657,Afro House
Dougne Te Soye,f67031d0-dc3e-4396-a181-f03e7eebbd11,10809114,Afro House
Masala,86da999a-2876-4d07-b9f0-d37a94ccdd7c,9479763,Afro House
Mirror Dance,27ec5a4d-d452-4878-905b-3cc8876819f2,500354,Afro House
La Palma,ade62147-4cb9-433e-995a-ada3a7504835,9110366,Afro House
Filtered African Blues,d2282d4f-03ed-4df8-ad29-ab985b3ae92b,10010442,Afro House
Drained feat. Sooma,58e96f4b-ab06-4bc1-8446-d702a0ff97f7,9663492,Afro House
Bela,879169b3-6476-4aff-9b3f-36aadf0b2ad7,9782146,Afro House
Donner,79487983-d53a-4a19-bbde-4b582fc3f643,9357991,Afro House
Canoa,a44f73b9-4f85-4f59-964a-cf794c0e1e68,1401781,Afro House
Changes,f0330042-297f-43a7-be4d-bbec0bf3afb5,8864645,Afro House
Civilist,86ec3368-c360-4649-b924-719445e7871c,9993597,Afro House
Kuar,b6a3efab-9b48-406b-b413-2a064a43534b,11040921,Afro House
Amene,f7bbb2de-63b2-434c-9f47-46b606db083f,9632313,Afro House
Red Man Calypso,ebed7088-83b6-4490-8359-cf61299838d2,11033316,Afro House
Zed,a6fd02a8-7937-4c44-ba86-ac83a727ef7c,10129396,Afro House
Toukan feat. Ahmed Sosso,cb8709f3-66e5-4bb9-9c52-b300bc154999,9485655,Afro House
The Latin Track,9da94751-2cc5-43f8-96a8-c63e9cfce92a,9098493,Afro House
FETZEN,6bbabdd9-0043-47e6-8818-a03fc5b0d290,10540823,Afro House
Newborn Soul,c95824f2-8249-438b-9b08-fcbaf4846245,6988446,Afro House
Baakoya,d7b119e7-5202-4f8c-a785-8773bc0916a0,9406672,Afro House
Caos,4e107534-4b02-47ce-bdb0-daf4cd163bd8,9649019,Afro House
Who is Themba?,1697f5cc-8058-4c5f-87ce-d390ccfa2714,10657938,Afro House
Save the Children,244ddd46-1ba7-4f90-9d6d-7ffa1dd0524c,10495092,Afro House
El Sonido,9dc869c9-050e-4753-8e7b-c12ef66eec23,10078858,Afro House
Mascha,3b36e3d5-c514-4695-8c01-bbe4ed18e868,6988447,Afro House
Marvin,13257804-aff9-465c-a783-6d98bce6876f,9640499,Afro House
Imaona,61028e96-bf48-4e95-8cad-e4448a94f224,10084990,Afro House
A State Nearby,22a64e00-f101-421e-91ff-23a953d4aee3,10276599,Afro House
Words,e8c4955d-157e-4351-9ad1-c0931d16f2bf,9976281,Afro House
Boma,88450f6a-a1cb-4996-bc15-688c0a022949,9856263,Afro House
Guava,a18b770c-d11b-4c65-b7b8-2288b13ac3b8,10227697,Afro House
L.D.O.E. feat. Valentine,89f2fb61-b94f-458b-94f8-0995296b6caa,9818470,Afro House
Esperanza,274b8eff-cdd6-4081-a8c0-01783cf9ab60,9453398,Afro House
Turbulent Times,fcf357ea-1bec-437d-9e7e-66b5d2d0e82f,10713415,Afro House
Nandoo,592db5b2-7dfe-40ea-ac44-d960213d6174,10641115,Afro House
Sondela feat. Xolisa,804d0dc6-b7d2-4b79-858b-f5fd87cc3cc9,10471764,Afro House
Scouse Afrika,9fe936a1-9f50-4d3c-b499-c34a395c41ab,8643831,Afro House
Dahlass,5c529e3d-3339-4122-ac57-0040fdaf98e5,10742951,Afro House
Trust,51ea8248-d8d2-474c-93d2-a975f0c6fd7d,7857091,Afro House
Movement,f6092199-3218-493d-9988-be21590cb552,9663493,Afro House
Roadhouse,78c3eb0f-d604-49b4-b116-8dd29fc439d3,10628287,Afro House
Something Said,d37b86aa-5914-4302-bc7f-33f6eb6dce26,10048980,Afro House
Dschuna,bafea79a-54b3-41e0-b487-e3dc7ee23752,9823717,Afro House
The Call,7002e02c-569b-4068-9a44-acfa7b4371ce,10766435,Afro House
Hey Mama,739ed5c2-82bd-49a0-8790-9b1e06c4dfc8,9844594,Afro House
Ganesha Song,93127a47-7951-4b43-9c1c-12b1cb1cd0a5,9151156,Afro House
A Walk In The Plains,607660a6-15bb-45ee-9211-388ffddfc407,9973448,Afro House
La Manguelena feat. Martina Camargo,f38bbc38-6685-488e-bd9c-5327b082a662,10916965,Afro House
A Different Happiness,f409bb4e-d11a-436d-a9ee-f9343a304048,9823029,Afro House
Bold Feat. Sooma,2c15dbca-cabb-4bbc-b5c8-e9b32430a6ca,7239941,Afro House
Ebertplatz,c391e6fb-a698-40d8-a140-64c3284b1346,9357994,Afro House
Escaping Nambaka,b52f87e5-2c32-4d7b-b54a-0f6d5c93e1e6,10205375,Afro House
Amahloni feat. Toshi,669a83ca-29b5-40dc-926d-5b49742092bf,8868278,Afro House
Mabudede feat. Toshi,1a39d890-38e9-48a2-ab35-75a23df533b7,10045066,Afro House
Chateau de krawall,3e432aac-8d21-469b-9cdd-9334c220d4fd,9960813,Afro House
Fulani,1470aeed-b691-4734-8746-ca10975891cb,9836103,Afro House
Musika Feat. Kwanzaa Posse,465111b2-f1b3-4d3e-b6a5-ac0879d0e5e5,10257066,Afro House
Woman of the Ghetto,de9850bc-1f20-4e72-b832-65369fbed5ea,9563876,Afro House
Get It Together,0ca8b0da-f3b7-4ba5-86a1-c4b00adfc0b0,9224158,Afro House
Kalama,1c1ed231-cd99-414d-b34b-97f204de769f,9841363,Afro House
Djembè Groove,e10e98f9-542e-40dd-9501-fb4c7c5b2f4d,9963920,Afro House
Apart,8ee34719-db15-4876-a7f0-7d3425e9b64d,7335656,Afro House
Without You,ffc45ba2-708a-416a-af89-633122038be5,10384483,Afro House
Fastic,e8797194-9b1a-4fad-93a5-02c967947589,10040692,Afro House
Rafari,94c70704-9843-4f17-9a1b-ac81742c6638,9856261,Afro House
Buya feat. Toshi,639d7a8f-f971-46cc-a5c6-7b9ab235b097,8205810,Afro House
Abomey,fa3662b3-c1b7-4546-993e-fcf2788f45c8,10468479,Afro House
Dandini,8cd0d2ad-2cec-4de4-b095-01c0e0ad35a1,10279099,Afro House
Owami,7f5fb3a1-1859-4a08-a0be-b373761af2b8,10952230,Afro House
Motherlove,93501c73-5291-4d2a-82c2-27dbd5d81f49,10755800,Afro House
You Made Me Who I Am,4e636ad2-e97c-403c-a530-da9b5d92df09,9842615,Afro House
Voodoo Tool,1610f172-a6a1-4c76-89f8-47e40176f9c3,10540128,Afro House
Baobab,1c92cefc-dfb1-4b7f-8a37-a749ff89e240,10487213,Afro House
Insomnia,3d3e65d5-8d21-41e4-aa3f-278ef5b0ca6c,10500365,Afro House
Masala,415b7065-66e7-4105-b2f0-371c22e5cb2b,9479762,Afro House
Tribal Talking,4e9d9f38-731e-4bc9-9b5e-607260ea4a55,10915561,Afro House
Sand,cd639098-1067-4ea9-9da8-14daed63a484,10815590,Afro House
Love Will,b27a3ef2-83d2-4f70-aefe-45d99c40a512,9802563,Afro House
Patterns/Symbols,8e20fcae-26c8-4712-b1ea-e0ff16aae959,8659059,Afro House
Crossing Bridges,36864cc8-a9aa-4a92-8873-20d2d4b3875f,10690895,Afro House
Not Impossible (feat. Lazarusman),4cfa182e-0fbe-47b9-9789-7b7c34b4233f,10641080,Afro House
Saguaro,27061b4b-0c75-4584-abfd-f6eb805ea85f,11052947,Afro House
Animals,98895fc3-e969-4aae-ae37-56e18cc6b06f,4459187,Big Room
Paradise,9718cc69-ba6e-4ed1-86cd-f4ff91eda857,3021158,Big Room
You've Got The Love,f8db6edb-cf56-4eb3-967e-ac5655f9f598,1964757,Big Room
Summertime Sadness,2c695d15-b5c6-4036-950d-bcf9c5458da3,4093366,Big Room
Mammoth,4580e9f8-394d-4fe9-b1f1-c56fa2ea38bf,4191993,Big Room
Levels,72486fed-9aba-4af1-b842-835242ca9c96,3059880,Big Room
Pressure,bfd11a75-2503-45e7-acde-167d3fd0ce90,1906172,Big Room
If I Lose Myself,fdac2fab-bfc7-4dd4-b947-6696788cc5d4,4275052,Big Room
Bad feat. Vassy,c93d5256-ae33-44a2-b7b7-bde90e3f5707,5262796,Big Room
Booyah (feat. We Are Loud & Sonny Wilson),f7abda1e-7372-4d57-a10a-f35e1bac61e4,4625555,Big Room
Years,835e6f4a-31a3-4913-960c-4063fa365a95,3691493,Big Room
What's Up Suckaz,f648530a-84a1-4dcf-985f-dd705a1df4bd,4558156,Big Room
Tsunami,e32a03ac-e08e-4545-9a11-a54992cafd5f,4625703,Big Room
Wizard,f5b72720-2606-4c0e-a210-6bfde55febc2,4935409,Big Room
Million Voices,1907afcc-776d-4e76-a663-294fb795bb2f,3261459,Big Room
No Good,976512fd-99c1-47bc-b057-c3d1c2d4d22a,4476512,Big Room
Sunrise (Won't Get Lost),f3f2d042-3bcd-40c1-9bf1-26533809e857,3844258,Big Room
The Code,0c83ed5c-0e93-4cd1-9ffd-054dfa149ec7,4095815,Big Room
Apollo feat. Amba Shepherd,4cd01837-30c0-4849-9618-341b82ffa61d,3923759,Big Room
Calling (Lose My Mind),71e6c974-4c00-4bcd-8cd5-17030bc7156d,3333331,Big Room
Countdown,152084aa-53df-4c0f-9113-655ed72c48ee,4750728,Big Room
No Beef feat. Miss Palmer,50486c36-a528-4639-bd82-10efafb696d2,2081645,Big Room
Jumper,6840a542-0f7e-4d27-8331-284042008104,4596347,Big Room
Toulouse,5cd7f5f9-e313-4f4f-9084-2a2b7801d106,3144345,Big Room
Reload,798c7ca5-8a08-4780-9ee7-3004b257629c,3792349,Big Room
Calling,f8c2613b-7bc9-402d-ae36-eea85e88b035,2446745,Big Room
A Sky Full of Stars,c178b8f1-ad0d-4606-a4a2-166e9331d3de,5600045,Big Room
